-149.733799,61.211451,Target    - 1200 N Muldoon Rd; Anchorage,AK 99504>907-269-2100
-149.881931,61.130211,Target   - 150 W 100th Ave; Anchorage,AK 99515>907-267-7500
-149.407577,61.576476,Target   - 1801 E Parks Hwy; Wasilla,AK 99654>907-631-7200
-86.802911,33.225189,Target   - 250 S Colonial Dr; Alabaster,AL 35007>205-564-2608
-86.991011,33.332862,Target   - 4889 Promenade Pkwy; Bessemer,AL 35022>205-565-3760
-86.806764,33.607155,Target   - 3489 Lowery Pkwy; Fultondale,AL 35068>205-453-6032
-86.775055,33.468096,Target   - 531 Brookwood Village; Homewood,AL 35209>205-994-7531
-86.852607,33.359374,Target   - 5561 Grove Blvd; Birmingham,AL 35226>205-747-1654
-86.637538,33.602742,Target   - 1654 Gadsden Hwy; Birmingham,AL 35235>205-655-6950
-86.708829,33.429029,Target   - 4616 AL-280 S; Birmingham,AL 35242>205-408-7687
-87.519174,33.193065,Target   - 1901 13th Ave E; Tuscaloosa,AL 35404>205-462-1064
-86.972221,34.561677,Target   - 1235 Point Mallard Pkwy SE; Decatur,AL 35601>256-898-3036
-87.635688,34.839721,Target   - 372 Cox Creek Pkwy; Florence,AL 35630>256-764-6924
-86.755085,34.751001,Target   - 8207 AL-72 W; Madison,AL 35758>256-690-5890
-86.543075,34.676431,Target   - 2750 Carl T Jones Dr SE; Huntsville,AL 35802>256-650-3491
-86.682041,34.745174,Target   - 6275 University Dr NW; Huntsville,AL 35806>256-922-0189
-86.397703,32.458589,Target   - 2754 Legends Pkwy; Prattville,AL 36066>334-290-6000
-86.162418,32.359451,Target   - 2576 Berryhill Rd; Montgomery,AL 36117>334-356-6265
-85.782922,33.609716,Target   - 400 Oxford Exchange Blvd; Oxford,AL 36203>256-231-2900
-85.443797,31.266639,Target   - 4601 Montgomery Hwy; Dothan,AL 36303>334-340-1112
-87.898094,30.602038,Target   - 1698 AL-98; Daphne,AL 36526>251-621-3540
-87.682872,30.302785,Target   - 3820 Gulf Shores Pkwy; Gulf Shores,AL 36542>251-967-7001
-88.121389,30.676021,Target   - 3150 Bel Air Mall; Mobile,AL 36606>251-471-9760
-88.225631,30.673882,Target   - 790 Schillinger Rd S; Mobile,AL 36695>251-607-0265
-85.408582,32.618804,Target   - 2640 Enterprise Dr; Opelika,AL 36801>334-705-0152
-92.534136,34.604026,Target   - 7377 Alcoa Rd; Bryant,AR 72022>501-776-4360
-92.413116,35.085092,Target   - 501 Elsinger Blvd; Conway,AR 72032>501-328-5739
-92.228243,34.790624,Target   - 4000 McCain Blvd; North Little Rock,AR 72116>501-771-4220
-92.341384,34.750389,Target   - 420 S University Ave; Little Rock,AR 72205>501-801-3412
-92.415648,34.754611,Target   - 12700 Chenal Pkwy; Little Rock,AR 72211>501-217-0200
-90.666457,35.821279,Target   - 3000 E Highland Dr; Jonesboro,AR 72401>870-934-9661
-94.154198,36.115077,Target   - 3545 N Shiloh Dr; Fayetteville,AR 72703>479-443-5517
-94.174174,36.301901,Target   - 2404 Promenade Blvd; Rogers,AR 72758>479-986-1100
-94.388831,35.338592,Target   - 4001 Phoenix Ave; Fort Smith,AR 72903>479-709-8940
-112.099491,33.522415,Target   - 5715 N 19th Ave; Phoenix,AZ 85015>602-308-3604
-112.046463,33.507828,Target   - 1625 E camelback Rd; Phoenix,AZ 85016>602-603-7581
-111.984956,33.480023,Target   - 4515 E Thomas Rd; Phoenix,AZ 85018>602-952-1797
-112.067904,33.640087,Target   - 16806 N 7th St; Phoenix,AZ 85022>602-794-3601
-112.117533,33.666675,Target   - 2727 W Agua Fria Fwy; Phoenix,AZ 85027>623-869-8070
-111.988519,33.600881,Target   - 12602 N Paradise Village Pkwy W; Phoenix,AZ 85032>602-953-2151
-112.218683,33.476432,Target   - 7409 W Virginia Ave; Phoenix,AZ 85035>623-245-1800
-112.036495,33.377952,Target   - 2140 E Baseline Rd; Phoenix,AZ 85042>602-281-1119
-111.982475,33.319996,Target   - 4734 E Ray Rd; Phoenix,AZ 85044>480-893-9333
-111.977151,33.675035,Target   - 21001 N Tatum Blvd; Phoenix,AZ 85050>480-419-9380
-111.638151,33.253967,Target   - 21398 S Ellsworth Loop Rd; Queen Creek,AZ 85142>480-214-4810
-111.863938,33.391694,Target   - 1230 S Longmore Ave; Mesa,AZ 85202>480-281-0105
-111.788079,33.395307,Target   - 1135 S Gilbert Rd; Mesa,AZ 85204>480-926-3443
-111.682949,33.390243,Target   - 1525 S Power Rd; Mesa,AZ 85206>480-396-0403
-111.687311,33.323331,Target   - 5110 S Power Rd; Mesa,AZ 85212>480-281-0268
-111.683797,33.453473,Target   - 2151 N Power Rd; Mesa,AZ 85215>480-830-2035
-111.900239,33.297669,Target   - 3425 W Frye Rd; Chandler,AZ 85226>480-281-0007
-111.841028,33.250281,Target   - 3777 S Arizona Ave; Chandler,AZ 85248>480-612-6101
-111.887085,33.540607,Target   - 9000 E Talking Stick Way; Scottsdale,AZ 85250>480-951-4403
-111.888393,33.629507,Target   - 15444 N Frank Lloyd Wright Blvd; Scottsdale,AZ 85260>480-860-2800
-111.924224,33.777641,Target   - 32351 N Scottsdale Rd; Scottsdale,AZ 85266>480-575-7043
-111.717423,33.574792,Target   - 16825 E Shea Blvd; Fountain Hills,AZ 85268>480-837-8557
-111.904714,33.429383,Target   - 1800 E Rio Salado Pkwy; Tempe,AZ 85281>480-214-2667
-111.907679,33.378578,Target   - 1818 E Baseline Rd; Tempe,AZ 85283>480-831-9162
-111.757706,33.335485,Target   - 1515 E Warner Rd; Gilbert,AZ 85296>480-892-2282
-111.789416,33.279867,Target   - 3931 S Gilbert Rd; Gilbert,AZ 85297>480-281-0201
-112.151676,33.580601,Target   - 10404 N 43rd Ave; Glendale,AZ 85302>623-931-4434
-112.259432,33.551827,Target   - 9350 W Northern Ave; Glendale,AZ 85305>623-877-8440
-112.426743,33.437411,Target   - 995 S Cotton Lane; Goodyear,AZ 85338>480-627-3275
-112.270572,33.421297,Target   - 9830 W Lower Buckeye Rd; Tolleson,AZ 85353>623-687-2136
-114.606511,32.703618,Target   - 1450 S Yuma Palms Pkwy; Yuma,AZ 85365>928-343-7470
-112.352921,33.638456,Target   - 13731 W Bell Rd; Surprise,AZ 85374>623-975-4122
-112.229021,33.637874,Target   - 8055 W Bell Rd; Peoria,AZ 85382>623-979-0250
-112.272804,33.708801,Target   - 24890 N Lake Pleasant Pkwy; Peoria,AZ 85383>623-376-7300
-112.357815,33.462351,Target   - 1515 N Litchfield Rd; Goodyear,AZ 85395>623-935-3510
